State,state_code,Month,Rain,value,RainTmp,RainTmp2,Year
Alabama,AL,January,0.90511,1,0.735,0.57184,2020
Alabama,AL,February,0.11969,2,0.51296,0.07125,2020
Alabama,AL,March,0.74948,3,0.89969,0.664,2020
Alabama,AL,April,0.0724,4,0.89335,0.93909,2020
Alabama,AL,May,0.24285,5,0.11136,0.91549,2020
Alabama,AL,June,0.88963,6,0.99331,0.80712,2020
Alabama,AL,July,0.97009,7,0.93117,0.26092,2020
Alabama,AL,August,0.31,8,0.43079,0.92279,2020
Alabama,AL,September,0.17501,9,0.31,0.99556,2020
Alabama,AL,October,0.55,10,0.016,0.098,2020
Alabama,AL,November,0.89225,11,0.93428,0.65272,2020
Alabama,AL,December,0.05633,12,0.07363,0.24285,2020
Alaska,AK,January,0.601,1,0.10509,0.55564,2020
Alaska,AK,February,0.43936,2,0.92629,0.78948,2020
Alaska,AK,March,0.97428,3,0.72245,0.78364,2020
Alaska,AK,April,0.04695,4,0.13225,0.18999,2020
Alaska,AK,May,0.92004,5,0.99561,0.86539,2020
Alaska,AK,June,0.69386,6,0.10304,0.14729,2020
Alaska,AK,July,0.01184,7,0.08514,0.70838,2020
Alaska,AK,August,0.05315,8,0.9974,0.97523,2020
Alaska,AK,September,0.49752,9,0.98176,0.18494,2020
Alaska,AK,October,0.09147,10,0.05,0.92004,2020
Alaska,AK,November,0.78211,11,0.02321,0.99284,2020
Alaska,AK,December,0.48,12,0.9758,0.98411,2020
Arizona,AZ,January,0.55564,1,0.62836,0.97094,2020
Arizona,AZ,February,0.29118,2,0.8911,0.1566,2020
Arizona,AZ,March,0.12342,3,0.80405,0.13901,2020
Arizona,AZ,April,0.83116,4,0.17011,0.85984,2020
Arizona,AZ,May,0.736,5,0.95069,0.8036,2020
Arizona,AZ,June,0.75943,6,0.81322,0.9784,2020
Arizona,AZ,July,0.80712,7,0.85936,0.006,2020
Arizona,AZ,August,0.97219,8,0.08549,0.80405,2020
Arizona,AZ,September,0.91759,9,0.1534,0.79786,2020
Arizona,AZ,October,0.05954,10,0.0788,0.7916,2020
Arizona,AZ,November,0.21196,11,0.95716,0.12232,2020
Arizona,AZ,December,0.67148,12,0.90763,0.16628,2020
Arkansas,AR,January,0.082,1,0.9989,0.94825,2020
Arkansas,AR,February,0.92968,2,0.77248,0.1598,2020
Arkansas,AR,March,0.1653,3,0.16059,0.00202,2020
Arkansas,AR,April,0.72245,4,0.81926,0.10509,2020
Arkansas,AR,May,0.71551,5,0.02565,0.05315,2020
Arkansas,AR,June,0.066,6,0.83116,0.48,2020
Arkansas,AR,July,0.59635,7,0.06117,0.10643,2020
Arkansas,AR,August,0.20049,8,0.268,0.07296,2020
Arkansas,AR,September,0.98447,9,0.05229,0.02627,2020
Arkansas,AR,October,0.87089,10,0.03978,0.92629,2020
Arkansas,AR,November,0.61044,11,0.0756,0.25,2020
Arkansas,AR,December,0.03797,12,0.48,0.577,2020
California,CA,January,0.72926,1,0.97219,0.02,2020
California,CA,February,0.99429,2,0.84736,0.9646,2020
California,CA,March,0.61504,3,0.35436,0.98644,2020
California,CA,April,0.00224,4,0.91558,0.624,2020
California,CA,May,0.135,5,0.95588,0.88435,2020
California,CA,June,0.84281,6,0.8162,0.2214,2020
California,CA,July,0.40255,7,0.204,0.74613,2020
California,CA,August,0.22432,8,0.26092,0.91512,2020
California,CA,September,0.98044,9,0.98058,0.02412,2020
California,CA,October,0.27517,10,0.24878,0.77892,2020
California,CA,November,0.116,11,0.91014,0.96582,2020
California,CA,December,0.76924,12,0.02568,0.75613,2020
Colorado,CO,January,0.95936,1,0.89485,0.33142,2020
Colorado,CO,February,0.9437,2,0.35469,0.65651,2020
Colorado,CO,March,0.13901,3,0.85794,0.9635,2020
Colorado,CO,April,0.1431,4,0.082,0.03184,2020
Colorado,CO,May,0.645,5,0.72586,0.96085,2020
Colorado,CO,June,0.81625,6,0.96724,0.8162,2020
Colorado,CO,July,0.83992,7,0.00628,0.82968,2020
Colorado,CO,August,0.10502,8,0.03065,0.10862,2020
Colorado,CO,September,0.82524,9,0.05247,0.53292,2020
Colorado,CO,October,0.24878,10,0.988,0.86815,2020
Colorado,CO,November,0.85984,11,0.8535,0.86152,2020
